column,dtype,missing_values,missing_percent,unique_values
name,object,0,0.0,224
jitt,float64,0,0.0,48
jita,int64,0,0.0,103
RAP,float64,0,0.0,42
PPQ,float64,0,0.0,40
sPPQ,float64,0,0.0,47
vfo,float64,0,0.0,66
shim,float64,0,0.0,101
shdb,float64,0,0.0,105
APQ,float64,0,0.0,78
sAPQ,float64,0,0.0,107
vAm,float64,0,0.0,168
ATRI,float64,0,0.0,124
FTRI,float64,0,0.0,45
DUV,int64,0,0.0,1
DVB,int64,0,0.0,1
DSH,int64,0,0.0,1
VTI,float64,0,0.0,213
SPI,float64,0,0.0,213
NHR,float64,0,0.0,211
status,int64,0,0.0,2
