,count,mean,std,min,25%,50%,75%,max
jitt,228.0,2.2464912280701754,5.278827793798043,0.2,0.3,0.5,1.0,38.5
jita,228.0,252.28947368421052,712.158637275725,11.0,25.75,39.5,88.0,5630.0
RAP,228.0,1.3425438596491228,3.2342722285373764,0.0,0.2,0.3,0.525,21.7
PPQ,228.0,1.5254385964912278,3.7486987205608555,0.1,0.2,0.3,0.6,25.2
sPPQ,228.0,2.185526315789474,4.589790545854029,0.3,0.5,0.7,1.0,26.3
vfo,228.0,3.3807017543859645,5.794085959363246,0.5,1.0,1.4,2.3,37.5
shim,228.0,6.836403508771929,6.988652807625963,1.3,3.3,4.35,7.225,45.4
shdb,228.0,0.6574561403508771,0.7739768706529557,0.11,0.29,0.39,0.6924999999999999,5.44
APQ,228.0,4.295614035087719,4.5046601489372415,0.8,2.1,2.8,4.625,29.3
sAPQ,228.0,8.099122807017544,6.094461927643418,2.1,4.5,6.2,8.8,38.7
vAm,228.0,25.167543859649125,13.277290045231535,4.8,15.05,22.65,34.075,72.5
ATRI,228.0,8.688157894736843,8.705286769376068,0.3,3.4,5.3,9.925,49.9
FTRI,228.0,1.5960526315789472,3.211739512048409,0.0,0.3,0.4,0.9,15.5
DUV,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVB,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DSH,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VTI,228.0,9.45671052631579,6.1536064540728335,0.6,4.22,8.184999999999999,13.2575,31.64
SPI,228.0,11.420657894736841,9.80426640057141,1.13,4.495,7.995,15.97,60.77
NHR,228.0,14.772850877192983,10.168169269147443,2.14,6.29,12.115,21.105,56.65
